second;src;dst;packetcount;src_ratio;dst_ratio;src_duration_ratio;dst_duration_ratio;TotalPacketDuration;TotalPacketLenght;src_packet_ratio;dst_packet_ratio;DioCount;DisCount;DaoCount;OtherMsg;label
60.0;20;1;12;1.0;1.0;1.0;1.0;0.8199996948242188;1248;1.0;1.0;0;0;0;12;0
61.0;20;1;18;1.0;1.0;1.0;1.0;1.0489997863769531;1872;1.0;1.0;0;0;0;30;0
62.0;3;1;22;0.9166666865348816;1.0;0.9988027811050415;1.0;0.8369979858398438;1716;0.8918918967247009;1.0;0;0;0;22;0
62.0;20;1;2;0.0833333358168602;1.0;0.001197212259285152;1.0;0.001003265380859375;208;0.10810811072587967;1.0;0;0;0;32;0
63.0;1;0;12;0.5714285969734192;0.5714285969734192;0.3719292879104614;0.3719292879104614;0.31800079345703125;936;0.5502645373344421;0.5502645373344421;0;0;0;12;0
63.0;3;1;6;0.2857142984867096;0.2857142984867096;0.41052675247192383;0.41052675247192383;0.3510017395019531;468;0.27513226866722107;0.27513226866722107;0;0;0;28;0
63.0;13;26;3;0.1428571492433548;0.1428571492433548;0.21754397451877594;0.21754397451877594;0.18600082397460938;297;0.1746031790971756;0.1746031790971756;0;0;0;3;0
64.0;13;26;13;0.7647058963775635;0.7647058963775635;0.6386387944221497;0.6386387944221497;0.63800048828125;1287;0.8048780560493469;0.8048780560493469;0;0;0;16;0
64.0;1;0;4;0.23529411852359772;0.23529411852359772;0.36136123538017273;0.36136123538017273;0.36100006103515625;312;0.19512194395065308;0.19512194395065308;0;0;0;16;0
65.0;13;26;18;1.0;1.0;1.0;1.0;1.0139999389648438;1782;1.0;1.0;0;0;0;34;0
66.0;13;26;15;1.0;1.0;1.0;1.0;1.4409942626953125;1485;1.0;1.0;0;0;0;49;0
67.0;13;26;4;0.23529411852359772;0.23529411852359772;0.5773505568504333;0.5773505568504333;0.32100677490234375;396;0.2808510661125183;0.2808510661125183;0;0;0;53;0
67.0;24;1;13;0.7647058963775635;0.7647058963775635;0.42264944314956665;0.42264944314956665;0.23499298095703125;1014;0.7191489338874817;0.7191489338874817;0;0;0;13;0
68.0;24;1;33;1.0;1.0;1.0;1.0;0.9710006713867188;2574;1.0;1.0;0;0;0;46;0
69.0;24;1;14;0.5;0.5;0.3626600503921509;0.3626600503921509;0.371002197265625;1092;0.4406779706478119;0.4406779706478119;0;0;0;60;0
69.0;10;26;14;0.5;0.5;0.6373399496078491;0.6373399496078491;0.6520004272460938;1386;0.5593220591545105;0.5593220591545105;0;0;0;14;0
