second;src;dst;packetcount;src_ratio;dst_ratio;src_duration_ratio;dst_duration_ratio;TotalPacketDuration;TotalPacketLenght;src_packet_ratio;dst_packet_ratio;DioCount;DisCount;DaoCount;OtherMsg;label
60.0;9;1;25;0.5;0.5;0.31867411732673645;0.31867411732673645;0.31899261474609375;1950;0.5;0.5;0;0;0;25;0
60.0;22;0;25;0.5;0.5;0.6813259124755859;0.6813259124755859;0.6820068359375;1950;0.5;0.5;0;0;0;25;0
61.0;9;1;27;0.5;0.5;0.03346564993262291;0.03346564993262291;0.03299713134765625;2106;0.5;0.5;0;0;0;52;0
61.0;22;0;27;0.5;0.5;0.9665343761444092;0.9665343761444092;0.9530029296875;2106;0.5;0.5;0;0;0;52;0
62.0;9;1;34;0.5762711763381958;0.5762711763381958;0.22610460221767426;0.22610460221767426;0.20100784301757812;2652;0.5762711763381958;0.5762711763381958;0;0;0;86;0
62.0;22;0;25;0.4237288236618042;0.4237288236618042;0.7738953828811646;0.7738953828811646;0.6879959106445312;1950;0.4237288236618042;0.4237288236618042;0;0;0;77;0
63.0;9;1;9;0.27272728085517883;0.27272728085517883;0.19124290347099304;0.19124290347099304;0.21400070190429688;702;0.27052024006843567;0.27052024006843567;0;0;0;95;0
63.0;1;0;23;0.6969696879386902;0.6969696879386902;0.38963112235069275;0.38963112235069275;0.43599700927734375;1794;0.6913294792175293;0.6913294792175293;0;0;0;23;0
63.0;25;28;1;0.03030303120613098;0.03030303120613098;0.4191260039806366;0.4191260039806366;0.46900177001953125;99;0.03815028816461563;0.03815028816461563;0;0;0;1;0
64.0;25;28;25;1.0;1.0;1.0;1.0;0.8119964599609375;2475;1.0;1.0;0;0;0;26;0
65.0;25;28;27;1.0;1.0;1.0;1.0;2.0159988403320312;2673;1.0;1.0;0;0;0;53;0
67.0;22;0;33;1.0;1.0;1.0;1.0;1.031005859375;3432;1.0;1.0;0;0;0;110;0
68.0;22;0;10;0.25;0.25;0.09685537219047546;0.09685537219047546;0.07399749755859375;1040;0.28307023644447327;0.28307023644447327;0;0;0;120;0
68.0;21;17;12;0.30000001192092896;0.30000001192092896;0.3416251540184021;0.3416251540184021;0.2610015869140625;936;0.2547631859779358;0.2547631859779358;0;0;0;12;0
68.0;9;28;14;0.3499999940395355;0.3499999940395355;0.4554968476295471;0.4554968476295471;0.34799957275390625;1386;0.3772455155849457;0.3772455155849457;0;0;0;14;0
68.0;17;19;4;0.10000000149011612;0.10000000149011612;0.10602262616157532;0.10602262616157532;0.08100128173828125;312;0.08492106944322586;0.08492106944322586;0;0;0;4;0
69.0;9;28;22;0.44897958636283875;0.44897958636283875;0.4073648452758789;0.4073648452758789;0.37599945068359375;2178;0.5084033608436584;0.5084033608436584;0;0;0;36;0
69.0;17;19;24;0.4897959232330322;0.4897959232330322;0.4983798861503601;0.4983798861503601;0.4600067138671875;1872;0.43697479367256165;0.43697479367256165;0;0;0;28;0
69.0;19;22;3;0.06122449040412903;0.06122449040412903;0.0942552462220192;0.0942552462220192;0.08699798583984375;234;0.054621849209070206;0.054621849209070206;0;0;0;3;0
70.0;9;28;17;0.53125;0.53125;0.5135744214057922;0.5135744214057922;0.49200439453125;1683;0.5899053812026978;0.5899053812026978;0;0;0;53;0
70.0;19;22;15;0.46875;0.46875;0.48642557859420776;0.48642557859420776;0.46599578857421875;1170;0.41009464859962463;0.41009464859962463;0;0;0;18;0
71.0;19;22;6;0.19354838132858276;0.19354838132858276;0.15231119096279144;0.15231119096279144;0.12200164794921875;468;0.161323681473732;0.161323681473732;0;0;0;24;0
71.0;22;0;2;0.06451612710952759;0.06451612710952759;0.0;0.0;0.0;156;0.05377456173300743;0.05377456173300743;0;0;0;122;0
71.0;21;28;23;0.7419354915618896;0.7419354915618896;0.8476887941360474;0.8476887941360474;0.6790008544921875;2277;0.7849017381668091;0.7849017381668091;0;0;0;23;0
72.0;21;28;30;0.8333333134651184;0.8333333134651184;0.8402491211891174;0.8402491211891174;0.80999755859375;2970;0.8638743162155151;0.8638743162155151;0;0;0;53;0
72.0;1;0;6;0.1666666716337204;0.1666666716337204;0.15975086390972137;0.15975086390972137;0.15399932861328125;468;0.13612565398216248;0.13612565398216248;0;0;0;29;0
73.0;1;0;29;1.0;0.7837837934494019;1.0;0.6844008564949036;0.5660018920898438;2262;1.0;0.740667998790741;0;0;0;58;0
73.0;1;28;8;1.0;0.21621622145175934;1.0;0.31559914350509644;0.2610015869140625;792;1.0;0.2593320310115814;0;0;0;8;0
74.0;1;28;37;1.0;1.0;1.0;1.0;0.9899978637695312;3663;1.0;1.0;0;0;0;45;0
75.0;1;28;8;0.19512194395065308;0.19512194395065308;0.23512642085552216;0.23512642085552216;0.24100494384765625;792;0.23529411852359772;0.23529411852359772;0;0;0;53;0
75.0;17;19;33;0.8048780560493469;0.8048780560493469;0.7648735642433167;0.7648735642433167;0.78399658203125;2574;0.7647058963775635;0.7647058963775635;0;0;0;61;0
76.0;17;19;18;0.40909090638160706;0.40909090638160706;0.43806231021881104;0.43806231021881104;0.43499755859375;1404;0.40414509177207947;0.40414509177207947;0;0;0;79;0
76.0;19;22;24;0.5909090638160706;0.5454545617103577;0.561937689781189;0.4974837601184845;0.4940032958984375;1872;0.5958549380302429;0.5388600826263428;0;0;0;48;0
76.0;19;28;2;0.5909090638160706;0.04545454680919647;0.561937689781189;0.06445392221212387;0.06400299072265625;198;0.5958549380302429;0.05699481815099716;0;0;0;2;0
77.0;19;28;29;0.7837837934494019;1.0;0.7607606649398804;1.0;0.7599945068359375;2871;0.844660222530365;1.0;0;0;0;31;0
77.0;11;28;8;0.21621622145175934;1.0;0.23923934996128082;1.0;0.2389984130859375;528;0.1553398072719574;1.0;0;8;0;8;0
78.0;11;28;32;0.5925925970077515;1.0;0.8575642108917236;1.0;0.842987060546875;2112;0.4923076927661896;1.0;0;32;0;40;0
